ticker,mktshare,ipo_date
000662.SZ,"28,79,89,200.00",12/16/1996
000663.SZ,"30,91,42,405.00",12-06-1996
000665.SZ,"63,62,17,448.00",12-10-1996
000666.SZ,"70,41,30,000.00",12-10-1996
000667.SZ,"2,55,95,92,332.00",12-05-1996
000668.SZ,"14,68,41,890.00",12-10-1996
000669.SZ,"48,60,06,284.00",12-10-1996
000670.SZ,"81,66,27,360.00",12/17/1996
000671.SZ,"3,24,17,48,835.00",12/18/1996
000672.SZ,"81,36,19,871.00",12/18/1996
000673.SZ,"39,30,80,000.00",1/24/1997
000676.SZ,"31,45,86,699.00",12/24/1996
000677.SZ,"86,39,77,948.00",12/26/1996
000678.SZ,"42,90,79,797.00",01-06-1997
000679.SZ,"35,64,00,000.00",1/24/1997
000680.SZ,"1,24,07,87,611.00",1/22/1997
000681.SZ,"70,05,77,436.00",1/21/1997
000682.SZ,"97,81,63,195.00",1/21/1997
000683.SZ,"1,61,88,91,844.00",1/31/1997
000685.SZ,"1,40,16,29,787.00",1/23/1997
000686.SZ,"1,95,71,66,032.00",2/27/1997
000687.SZ,"75,73,68,462.00",2/21/1997
000688.SZ,"1,13,72,99,314.00",1/20/1997
000690.SZ,"1,72,66,12,500.00",1/28/1997
000691.SZ,"32,32,70,000.00",2/28/1997
000692.SZ,"53,28,32,976.00",2/27/1997
000693.SZ,"54,34,91,923.00",2/26/1997
000695.SZ,"22,21,47,539.00",2/18/1997
000697.SZ,"55,96,80,049.00",3/25/1997
000698.SZ,"66,09,28,528.00",2/20/1997
000700.SZ,"35,86,03,951.00",2/28/1997
000701.SZ,"31,08,84,043.00",2/26/1997
000702.SZ,"26,66,34,576.00",3/18/1997
000703.SZ,"1,16,52,87,626.00",3/28/1997
000705.SZ,"33,41,23,286.00",04-10-1997
000707.SZ,"46,41,45,765.00",4/15/1997
000708.SZ,"44,94,08,480.00",3/26/1997
000709.SZ,"10,61,86,07,852.00",4/16/1997
000710.SZ,"15,12,00,000.00",4/22/1997
000711.SZ,"16,08,98,400.00",04-11-1997
000712.SZ,"89,60,00,000.00",4/15/1997
000713.SZ,"29,88,75,968.00",4/22/1997
000715.SZ,"27,90,06,000.00",05-08-1997
000716.SZ,"31,85,42,222.00",4/18/1997
000717.SZ,"2,41,95,24,410.00",05-08-1997
000718.SZ,"2,65,61,50,329.00",04-08-1997
000719.SZ,"78,70,79,807.00",3/31/1997
000720.SZ,"86,34,60,000.00",05-09-1997
000721.SZ,"49,90,55,920.00",4/30/1997
000722.SZ,"46,41,58,282.00",5/22/1997
000723.SZ,"27,91,98,390.00",5/15/1997
000725.SZ,"35,15,30,67,743.00",01-12-2001
000726.SZ,"95,57,58,496.00",12/25/2000
000727.SZ,"2,26,47,83,490.00",5/20/1997
000728.SZ,"1,96,41,00,000.00",6/16/1997
000729.SZ,"2,81,85,39,341.00",7/16/1997
000731.SZ,"59,14,84,352.00",6/17/1997
000732.SZ,"1,24,44,50,720.00",07-04-1997
000733.SZ,"46,93,42,218.00",07-03-1997
000735.SZ,"88,01,32,000.00",06-11-1997
000736.SZ,"29,71,93,885.00",4/25/1997
000737.SZ,"54,87,60,000.00",4/28/1997
000738.SZ,"1,14,56,42,349.00",6/26/1997
000739.SZ,"1,14,68,69,310.00",05-09-1997
000748.SZ,"81,48,18,606.00",07-04-1997
000750.SZ,"2,81,03,61,315.00",07-09-1997
000751.SZ,"1,40,98,69,279.00",6/26/1997
000752.SZ,"26,37,58,491.00",6/25/1997
000753.SZ,"88,41,46,545.00",6/26/1997
000755.SZ,"46,92,64,621.00",6/27/1997
000756.SZ,"45,73,12,830.00",08-06-1997
000757.SZ,"45,16,21,156.00",6/27/1997
000758.SZ,"98,46,89,212.00",4/16/1997
000759.SZ,"68,10,21,500.00",5/19/1997
000760.SZ,"77,18,44,628.00",6/27/1997
000761.SZ,"3,13,60,00,000.00",1/15/1998
000762.SZ,"47,59,74,877.00",07-08-1997
000766.SZ,"57,34,88,849.00",4/30/1997
000767.SZ,"2,25,37,37,800.00",06-09-1997
000768.SZ,"2,76,86,45,071.00",6/26/1997
000776.SZ,"7,62,10,87,664.00",06-11-1997
000777.SZ,"38,34,17,593.00",07-10-1997
000778.SZ,"3,64,33,07,361.00",06-06-1997
000779.SZ,"18,64,41,020.00",5/28/1997
000780.SZ,"1,01,43,06,324.00",06-06-1997
000782.SZ,"52,81,39,623.00",6/19/1997
000783.SZ,"4,74,24,67,678.00",7/31/1997
000785.SZ,"25,12,21,698.00",07-11-1997
000786.SZ,"1,41,39,81,592.00",06-06-1997
000788.SZ,"59,59,87,425.00",6/16/1997
000789.SZ,"61,33,64,368.00",9/23/1997
000790.SZ,"43,10,21,374.00",3/27/1998
000791.SZ,"72,21,57,900.00",10/14/1997
000792.SZ,"1,59,05,09,203.00",09-04-1997
000793.SZ,"2,05,12,28,683.00",7/29/1997
000795.SZ,"44,44,86,764.00",08-08-1997
000796.SZ,"24,65,42,015.00",07-03-1997
000797.SZ,"38,94,52,440.00",7/15/1997
000798.SZ,"31,94,55,000.00",02-12-1998
000799.SZ,"32,49,28,980.00",7/18/1997
000800.SZ,"1,62,75,00,000.00",6/18/1997
000801.SZ,"51,14,03,323.00",05-06-1998
000802.SZ,"38,86,00,360.00",01-08-1998
000803.SZ,"12,77,30,893.00",03-03-1998
000806.SZ,"1,09,99,11,762.00",4/16/1998
000807.SZ,"1,89,86,11,645.00",04-08-1998
000809.SZ,"54,98,60,862.00",6/16/1998
000810.SZ,"99,85,03,266.00",06-02-1998
000811.SZ,"43,53,69,434.00",5/28/1998
000812.SZ,"44,73,75,651.00",6/23/1998
000813.SZ,"46,74,95,367.00",5/19/1998
000815.SZ,"31,68,00,000.00",06-09-1998
000816.SZ,"1,41,88,03,318.00",8/18/1997
000818.SZ,"68,00,00,000.00",10/17/1997
000819.SZ,"24,61,11,657.00",6/25/1997
000820.SZ,"28,78,34,760.00",6/30/1998
000821.SZ,"47,77,32,636.00",6/26/1998
000822.SZ,"89,50,91,926.00",07-03-1998
000823.SZ,"53,69,66,000.00",10-08-1997
000825.SZ,"5,69,62,47,796.00",10/21/1998
000826.SZ,"84,62,41,398.00",2/25/1998
000828.SZ,"1,03,95,16,992.00",6/17/1997
000829.SZ,"94,69,01,092.00",12-02-1997
000830.SZ,"1,46,48,60,778.00",08-07-1998
000831.SZ,"98,08,88,981.00",09-11-1998
000833.SZ,"58,63,80,854.00",11-11-1998
000835.SZ,"30,53,70,000.00",6/25/1999
000836.SZ,"40,28,18,408.00",9/29/1997
000837.SZ,"69,33,70,910.00",9/28/1998
000838.SZ,"31,44,17,763.00",6/26/1997
000839.SZ,"1,56,79,30,541.00",10/31/1997
000848.SZ,"75,27,40,560.00",11/13/1997
000850.SZ,"94,36,65,009.00",10-07-1998
000851.SZ,"59,13,64,260.00",06-09-1998
000852.SZ,"46,01,21,300.00",11/26/1998
000856.SZ,"22,70,00,000.00",8/13/1998
000858.SZ,"3,79,59,66,720.00",4/27/1998
000859.SZ,"73,94,49,730.00",11/19/1998
000860.SZ,"57,05,89,992.00",11-04-1998
000861.SZ,"2,24,98,62,979.00",10/28/1998
000862.SZ,"54,16,32,994.00",9/15/1998
000863.SZ,"95,64,81,910.00",9/25/1997
000868.SZ,"69,55,65,603.00",7/25/1997
000869.SZ,"68,54,64,000.00",10/26/2000
000875.SZ,"1,46,06,12,195.00",9/26/2002
000876.SZ,"2,08,41,17,292.00",03-11-1998
000877.SZ,"88,01,01,259.00",01-07-1999
000878.SZ,"1,41,63,98,800.00",06-02-1998
000880.SZ,"27,61,00,500.00",04-02-1998
000881.SZ,"30,89,18,400.00",09-02-1998
000882.SZ,"2,22,60,86,429.00",6/16/1998
000883.SZ,"5,34,87,49,678.00",5/19/1998
000885.SZ,"47,47,99,283.00",3/19/1999
000886.SZ,"98,88,28,300.00",1/23/1998
000887.SZ,"1,11,54,93,070.00",12-03-1998
000888.SZ,"52,69,13,102.00",10/21/1997
000889.SZ,"62,18,26,786.00",12/18/1997
000890.SZ,"37,96,41,600.00",1/19/1999
000892.SZ,"41,38,76,880.00",1/15/1999
000893.SZ,"76,29,03,272.00",12/24/1998
000895.SZ,"3,30,08,67,672.00",12-10-1998
000897.SZ,"1,61,72,72,234.00",4/22/1999
000898.SZ,"7,23,48,07,847.00",12/25/1997
000899.SZ,"64,66,77,760.00",11/26/1997
000900.SZ,"1,01,18,85,556.00",1/28/1999
000901.SZ,"32,36,24,221.00",04-01-1999
000902.SZ,"65,92,24,645.00",04-08-1999
000903.SZ,"79,90,13,968.00",4/15/1999
000905.SZ,"53,10,00,000.00",4/29/1999
000906.SZ,"39,29,32,669.00",07-07-1999
000908.SZ,"79,97,94,865.00",02-03-1999
000909.SZ,"29,40,00,000.00",05-07-1999
000910.SZ,"52,75,00,000.00",6/30/1999
000911.SZ,"32,40,80,937.00",5/27/1999
000912.SZ,"58,50,00,000.00",06-03-1999
000913.SZ,"45,35,36,000.00",5/14/1999
000915.SZ,"18,02,54,989.00",06-09-1999
000916.SZ,"1,09,00,00,000.00",9/27/1999
000917.SZ,"1,41,75,56,338.00",3/25/1999
000918.SZ,"1,80,41,91,500.00",7/20/1999
000919.SZ,"50,40,00,000.00",11/18/1999
000920.SZ,"42,20,00,000.00",6/16/1999
000921.SZ,"1,36,27,25,370.00",7/13/1999
000922.SZ,"59,58,66,722.00",6/18/1999
000923.SZ,"19,80,00,000.00",7/14/1999
000925.SZ,"32,40,83,862.00",06-11-1999
000926.SZ,"71,23,55,650.00",6/18/1999
000927.SZ,"1,59,51,74,020.00",7/27/1999
000928.SZ,"64,25,62,099.00",03-12-1999
000929.SZ,"18,57,66,000.00",6/23/1999
000930.SZ,"96,44,11,115.00",07-12-1999
000931.SZ,"67,48,46,940.00",07-12-1999
000932.SZ,"3,01,56,50,025.00",08-03-1999
000933.SZ,"1,90,05,00,000.00",8/31/1999
000935.SZ,"76,34,40,333.00",8/24/1999
000936.SZ,"88,60,12,887.00",08-10-1999
000937.SZ,"3,53,35,46,850.00",09-09-1999
000938.SZ,"20,60,80,000.00",11-04-1999
000939.SZ,"1,50,72,92,372.00",9/23/1999
000948.SZ,"24,66,06,046.00",10/14/1999
000949.SZ,"1,02,72,41,303.00",10/21/1999
